"DISTRICT_ID","DISTRICT_NAME","PROVINCE_ID"
19,"HUYỆN ĐAN PHƯỢNG",1
20,"QUẬN LONG BIÊN",1
21,"HUYỆN QUỐC OAI",1
22,"QUẬN BA ĐÌNH",1
23,"QUẬN THANH XUÂN",1
24,"QUẬN ĐỐNG ĐA",1
25,"QUẬN NAM TỪ LIÊM",1
26,"QUẬN BẮC TỪ LIÊM",1
27,"HUYỆN PHÚ XUYÊN",1
28,"HUYỆN ĐÔNG ANH",1
29,"HUYỆN TỪ LIÊM",1
30,"QUẬN HÀ ĐÔNG",1
31,"HUYỆN THƯỜNG TÍN",1
32,"QUẬN 6",2
33,"QUẬN 5",2
34,"QUẬN 3",2
35,"QUẬN TÂN BÌNH",2
36,"HUYỆN CỦ CHI",2
37,"HUYỆN NHÀ BÈ",2
38,"QUẬN 10",2
39,"QUẬN 7",2
40,"QUẬN 12",2
41,"QUẬN 9",2
42,"HUYỆN CẦN GIỜ",2
43,"QUẬN 1",2
44,"QUẬN GÒ VẤP",2
45,"QUẬN 11",2
46,"QUẬN BÌNH TÂN",2
47,"QUẬN 8",2
48,"QUẬN 4",2
49,"HUYỆN BÌNH CHÁNH",2
50,"QUẬN THỦ ĐỨC",2
51,"QUẬN BÌNH THẠNH",2
52,"QUẬN PHÚ NHUẬN",2
53,"QUẬN 2",2
54,"QUẬN TÂN PHÚ",2
55,"HUYỆN HÓC MÔN",2
56,"QUẬN HỒNG BÀNG",3
57,"QUẬN ĐỒ SƠN",3
58,"QUẬN LÊ CHÂN",3
59,"HUYỆN AN DƯƠNG",3
60,"HUYỆN ĐẢO BẠCH LONG VĨ",3
61,"HUYỆN KIẾN THỤY",3
62,"QUẬN DƯƠNG KINH",3
63,"HUYỆN AN LÃO",3
64,"HUYỆN VĨNH BẢO",3
65,"QUẬN KIẾN AN",3
66,"HUYỆN ĐẢO CÁT HẢI",3
67,"HUYỆN THỦY NGUYÊN",3
68,"QUẬN NGÔ QUYỀN",3
69,"HUYỆN TIÊN LÃNG",3
70,"QUẬN HẢI AN",3
71,"QUẬN CẨM LỆ",4
72,"QUẬN THANH KHÊ",4
73,"QUẬN NGŨ HÀNH SƠN",4
74,"QUẬN HẢI CHÂU",4
75,"QUẬN SƠN TRÀ",4
76,"QUẬN LIÊN CHIỂU",4
77,"HUYỆN HOÀNG SA",4
78,"HUYỆN ĐIỆN BÀN",4
79,"HUYỆN HÒA VANG",4
80,"QUẬN Ô MÔN",5
81,"HUYỆN THỚI LAI",5
82,"QUẬN NINH KIỀU",5
83,"QUẬN THỐT NỐT",5
84,"HUYỆN PHỤNG HIỆP",5
85,"HUYỆN VĨNH THẠNH",5
86,"HUYỆN CHÂU THÀNH A",5
87,"HUYỆN PHONG ĐIỀN",5
88,"THỊ XÃ NGÃ BẢY",5
89,"QUẬN CÁI RĂNG",5
90,"HUYỆN CỜ ĐỎ",5
91,"QUẬN BÌNH THỦY",5
92,"HUYỆN TÂN PHÚ ĐÔNG",6
93,"HUYỆN CHỢ GẠO",6
94,"HUYỆN GÒ CÔNG TÂY",6
95,"HUYỆN CÁI BÈ",6
96,"HUYỆN GÒ CÔNG ĐÔNG",6
97,"HUYỆN CHÂU THÀNH",6
98,"HUYỆN TÂN PHƯỚC",6
99,"THỊ XÃ GÒ CÔNG",6
100,"HUYỆN CAI LẬY",6
101,"THÀNH PHỐ MỸ THO",6
102,"TP. VỊ THANH",8
103,"HUYỆN CHÂU THÀNH A",8
104,"HUYỆN LONG MỸ",8
105,"HUYỆN CHÂU THÀNH ",8
106,"HUYỆN VỊ THỦY",8
107,"THỊ XÃ NGÃ BẢY",8
108,"HUYỆN PHỤNG HIỆP",8
109,"THỊ XÃ LONG MỸ",8
110,"HUYỆN ĐẮK GLONG",9
538,"HUYỆN BÁC ÁI",47
539,"HUYỆN NINH PHƯỚC",47
540,"HUYỆN NINH SƠN",47
541,"HUYỆN THUẬN NAM",47
542,"HUYỆN NINH HẢI",47
543,"HUYỆN THUẬN BẮC",47
544,"TP.PHAN RANG - THÁP CHÀM",47
545,"HUYỆN BÙ ĐỐP",48
546,"HUYỆN LỘC NINH",48
547,"THỊ XÃ ĐỒNG XOÀI",48
548,"HUYỆN ĐỒNG PHÚ",48
549,"HUYỆN HỚN QUẢN",48
550,"THỊ XÃ BÌNH LONG",48
551,"HUYỆN CHƠN THÀNH",48
552,"HUYỆN BÙ ĐĂNG",48
553,"THỊ XÃ PHƯỚC LONG",48
554,"HUYỆN PHÚ RIỀNG",48
555,"HUYỆN BÙ GIA MẬP",48
556,"HUYỆN TÂN CHÂU",49
557,"HUYỆN CHÂU THÀNH",49
558,"THỊ XÃ TÂY NINH",49
559,"HUYỆN TÂN BIÊN",49
560,"HUYỆN GÒ DẦU",49
561,"HUYỆN TRẢNG BÀNG",49
562,"HUYỆN DƯƠNG MINH CHÂU",49
563,"HUYỆN BẾN CẦU",49
564,"HUYỆN HÒA THÀNH",49
565,"THỊ XÃ TÂN UYÊN",50
566,"THỊ XÃ DĨ AN",50
567,"THỊ XÃ BẾN CÁT",50
568,"HUYỆN BÀU BÀNG",50
569,"HUYỆN BẮC TÂN UYÊN",50
570,"THỊ XÃ THUẬN AN",50
571,"HUYỆN PHÚ GIÁO",50
572,"HUYỆN DẦU TIẾNG",50
573,"THỊ XÃ THỦ DẦU MỘT",50
574,"HUYỆN TRẢNG BOM",51
575,"HUYỆN TÂN PHÚ",51
576,"HUYỆN THỐNG NHẤT",51
577,"HUYỆN VĨNH CỬU",51
578,"HUYỆN NHƠN TRẠCH",51
579,"THÀNH PHỐ BIÊN HÒA",51
580,"HUYỆN CẨM MỸ",51
581,"HUYỆN XUÂN LỘC",51
582,"HUYỆN ĐỊNH QUÁN",51
583,"HUYỆN LONG THÀNH",51
584,"THỊ XÃ LONG KHÁNH",51
585,"HUYỆN HÀM THUẬN BẮC",52
586,"HUYỆN PHÚ QUÝ",52
587,"HUYỆN TUY PHONG",52
588,"HUYỆN TÁNH LINH",52
589,"HUYỆN ĐỨC LINH",52
590,"THỊ XÃ LA GI",52
591,"HUYỆN HÀM TÂN",52
592,"HUYỆN HÀM THUẬN NAM",52
593,"HUYỆN BẮC BÌNH",52
594,"THÀNH PHỐ PHAN THIẾT",52
595,"THỊ XÃ BÀ RỊA",53
596,"HUYỆN TÂN THÀNH",53
597,"HUYỆN XUYÊN MỘC",53
598,"HUYỆN CHÂU ĐỨC",53
599,"THÀNH PHỐ VŨNG TÀU",53
600,"HUYỆN ĐẤT ĐỎ",53
601,"HUYỆN LONG THÀNH",53
